산업단지,작업년월
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
